,AA,DL,year, month,arr_flights,arr_del15,carrier_ct, weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted, arr_delay, carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
15,1,0,2016,7,998.0,368.0,115.63,13.75,114.45,0.52,123.65,12.0,3.0,22760.0,7514.0,1451.0,4764.0,25.0,9006.0
16,1,0,2017,6,998.0,266.0,61.03,12.2,98.50,0.63,93.64,11.0,2.0,16574.0,4434.0,986.0,4448.0,10.0,6696.0
18,1,0,2004,1,997.0,309.0,60.98,35.04,160.89,2.8,49.27,35.0,1.0,15284.0,3777.0,1908.0,6307.0,116.0,3176.0
22,1,0,2007,9,997.0,338.0,85.66,3.76,195.47,0.8,52.31,11.0,4.0,18785.0,6531.0,405.0,8296.0,66.0,3487.0
24,1,0,2008,9,997.0,210.0,60.94,5.22,95.74,0.0,48.11,9.0,3.0,10188.0,2932.0,335.0,3851.0,0.0,3070.0
35,1,0,2008,2,996.0,371.0,79.86,6.26,201.01,0.0,83.87,45.0,1.0,21291.0,6273.0,276.0,8967.0,0.0,5775.0
42,1,0,2006,3,995.0,366.0,62.26,11.08,234.17,0.48,58.01,14.0,0.0,20437.0,3972.0,1048.0,11306.0,30.0,4081.0
45,1,0,2013,5,995.0,264.0,62.69,5.08,129.75,0.0,66.48,6.0,1.0,14318.0,2710.0,339.0,5135.0,0.0,6134.0
54,1,0,2015,6,994.0,245.0,65.01,10.31,80.34,0.13,89.22,17.0,0.0,16289.0,4915.0,821.0,3894.0,2.0,6657.0
60,1,0,2010,8,993.0,255.0,66.63,8.18,120.16,0.0,60.03,13.0,4.0,15226.0,4226.0,544.0,6242.0,0.0,4214.0
67,1,0,2005,7,992.0,327.0,112.49,28.26,84.64,0.0,101.62,2.0,0.0,20253.0,6916.0,1841.0,3827.0,0.0,7669.0
69,1,0,2006,7,992.0,274.0,94.64,14.94,79.70,0.0,84.72,8.0,1.0,18296.0,7152.0,1060.0,3450.0,0.0,6634.0
70,1,0,2006,8,992.0,217.0,79.58,14.88,50.20,8.05,64.29,16.0,0.0,12484.0,4913.0,934.0,1952.0,395.0,4290.0
79,1,0,2010,7,991.0,242.0,89.39,9.59,88.01,0.0,55.02,15.0,2.0,14060.0,5669.0,487.0,3625.0,0.0,4279.0
89,1,0,2006,5,990.0,193.0,64.51,10.46,60.33,0.0,57.70,1.0,5.0,10152.0,3167.0,638.0,2577.0,0.0,3770.0
143,1,0,2007,1,989.0,246.0,65.22,2.64,122.51,1.0,54.63,16.0,2.0,13662.0,5271.0,238.0,4406.0,20.0,3727.0
148,1,0,2015,8,989.0,201.0,74.60,7.81,58.62,2.17,57.80,12.0,3.0,10821.0,4204.0,678.0,2638.0,47.0,3254.0
154,1,0,2007,3,988.0,376.0,85.16,1.24,238.19,0.0,51.40,43.0,3.0,18606.0,5792.0,114.0,8416.0,0.0,4284.0
157,1,0,2010,3,988.0,358.0,88.80,5.77,223.19,0.0,40.24,38.0,15.0,20531.0,7407.0,680.0,9173.0,0.0,3271.0
160,1,0,2015,11,988.0,140.0,63.11,2.52,26.56,2.45,45.36,2.0,0.0,7246.0,3320.0,237.0,819.0,96.0,2774.0
167,1,0,2006,2,987.0,191.0,39.94,9.7,90.89,0.0,50.47,62.0,3.0,10607.0,2758.0,471.0,3910.0,0.0,3468.0
